dist=  15.7 cm | feature=0.0692 | modelo=PERTO ( 98%) | regra=PERTO | OK   | concordancia=88.2% | 0 ms
dist=  15.2 cm | feature=0.0669 | modelo=PERTO ( 98%) | regra=PERTO | OK   | concordancia=88.5% | 0 ms
dist=  14.9 cm | feature=0.0651 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=88.7% | 0 ms
dist=  14.5 cm | feature=0.0632 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=88.9% | 0 ms
dist=  14.1 cm | feature=0.0611 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=89.1% | 0 ms
dist=  13.7 cm | feature=0.0589 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=89.3% | 0 ms
dist=  13.3 cm | feature=0.0571 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=89.5% | 0 ms
dist=  12.8 cm | feature=0.0548 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=89.7% | 0 ms
dist=  12.4 cm | feature=0.0523 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=89.8% | 0 ms
dist=  11.8 cm | feature=0.0497 | modelo=PERTO (100%) | regra=PERTO | OK   | concordancia=90.0% | 0 ms
dist=  11.4 cm | feature=0.0474 | modelo=PERTO (100%) | regra=PERTO | OK   | concordancia=90.2% | 0 ms
dist=  11.4 cm | feature=0.0477 | modelo=PERTO (100%) | regra=PERTO | OK   | concordancia=90.3% | 0 ms
dist=  11.4 cm | feature=0.0475 | modelo=PERTO (100%) | regra=PERTO | OK   | concordancia=90.5% | 0 ms
dist=  11.7 cm | feature=0.0491 | modelo=PERTO (100%) | regra=PERTO | OK   | concordancia=90.6% | 0 ms
dist=  12.1 cm | feature=0.0512 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=90.8% | 0 ms
dist=  12.7 cm | feature=0.0538 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=90.9% | 0 ms
dist=  12.8 cm | feature=0.0547 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=91.0% | 0 ms
dist=  12.8 cm | feature=0.0543 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=91.2% | 0 ms
dist=  12.5 cm | feature=0.0529 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=91.3% | 0 ms
dist=  12.0 cm | feature=0.0507 | modelo=PERTO (100%) | regra=PERTO | OK   | concordancia=91.4% | 0 ms
dist=  11.7 cm | feature=0.0489 | modelo=PERTO (100%) | regra=PERTO | OK   | concordancia=91.5% | 0 ms
dist=  11.4 cm | feature=0.0474 | modelo=PERTO (100%) | regra=PERTO | OK   | concordancia=91.7% | 0 ms
dist=  11.6 cm | feature=0.0483 | modelo=PERTO (100%) | regra=PERTO | OK   | concordancia=91.8% | 0 ms
dist=  11.8 cm | feature=0.0493 | modelo=PERTO (100%) | regra=PERTO | OK   | concordancia=91.9% | 0 ms
dist=  12.1 cm | feature=0.0511 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=92.0% | 0 ms
dist=  12.3 cm | feature=0.0519 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=92.1% | 0 ms
dist=  12.2 cm | feature=0.0514 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=92.2% | 0 ms
dist=  12.2 cm | feature=0.0515 | modelo=PERTO ( 99%) | regra=PERTO | OK   | concordancia=92.3% | 0 ms
